experiment,algorithm,objective,iteration,queries,samps_per_iter,objective_value,minimum_objective_value,iteration_of_minimum,random_seed,status,parameter_configuration,elapsed_seconds,error_message
samples_vs_minimum,alternating_projections,ky_fan_regression,12500,100000,8,3.2849671840667725,3.2849671840667725,12499,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",217.23663508333266,
samples_vs_minimum,alternating_projections,ky_fan_regression,1563,100032,64,0.52903151512146,0.52903151512146,1563,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",63.512141457758844,
samples_vs_minimum,alternating_projections,ky_fan_regression,782,100096,128,0.07003697752952576,0.07003697752952576,782,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",58.87310141604394,
samples_vs_minimum,alternating_projections,ky_fan_regression,391,100096,256,2.8744120754709e-06,2.8744120754709e-06,391,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",48.277635167352855,
samples_vs_minimum,alternating_projections,ky_fan_regression,98,100352,1024,0.27482151985168457,0.27482151985168457,98,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",27.841422541998327,
samples_vs_minimum,alternating_projections,singular_value_sum,12500,100000,8,0.7589776515960693,0.7589776515960693,12499,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",254.1297661671415,
samples_vs_minimum,alternating_projections,singular_value_sum,1563,100032,64,0.015656867995858192,0.015656867995858192,1563,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",64.42579449992627,
samples_vs_minimum,alternating_projections,singular_value_sum,782,100096,128,0.0007483678637072444,0.0007483678637072444,782,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",59.01637970749289,
samples_vs_minimum,alternating_projections,singular_value_sum,391,100096,256,1.0061648562931236e-11,1.0061648562931236e-11,391,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",43.71761295758188,
samples_vs_minimum,alternating_projections,singular_value_sum,98,100352,1024,0.045143239200115204,0.045143239200115204,98,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":50}}",26.261948000639677,
