experiment,algorithm,objective,iteration,queries,samps_per_iter,objective_value,minimum_objective_value,iteration_of_minimum,random_seed,status,parameter_configuration,elapsed_seconds,error_message
samples_vs_minimum,alternating_projections,ky_fan_regression,1250,10000,8,24.754383087158203,24.754383087158203,1250,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":15}}",9.340335791930556,
samples_vs_minimum,alternating_projections,ky_fan_regression,157,10048,64,21.975406646728516,21.975406646728516,157,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":15}}",2.7063543340191245,
samples_vs_minimum,alternating_projections,ky_fan_regression,79,10112,128,19.36406135559082,19.36406135559082,79,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":15}}",2.3633704585954547,
samples_vs_minimum,alternating_projections,ky_fan_regression,40,10240,256,9.651965141296387,9.651965141296387,40,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":15}}",2.09626358281821,
samples_vs_minimum,alternating_projections,ky_fan_regression,10,10240,1024,25.842710494995117,25.842710494995117,10,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":15}}",1.4988672500476241,
samples_vs_minimum,alternating_projections,singular_value_sum,1250,10000,8,175.9775390625,175.9775390625,1250,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",13.383120125159621,
samples_vs_minimum,alternating_projections,singular_value_sum,157,10048,64,97.80431365966797,97.80431365966797,157,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",2.9338439162820578,
samples_vs_minimum,alternating_projections,singular_value_sum,79,10112,128,81.25984191894531,81.25984191894531,79,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",2.6227911673486233,
samples_vs_minimum,alternating_projections,singular_value_sum,40,10240,256,4.098793983459473,4.098793983459473,40,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",1.9602569993585348,
samples_vs_minimum,alternating_projections,singular_value_sum,10,10240,1024,70.69657897949219,70.69657897949219,10,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",1.1641013333573937,
